	ID	TITLE	PREDICTED_MINIBATCH	PREDICTED_LDA	PREDICTED_HIERARCHICAL	PREDICTED_SPECTRAL	CONSENSUS	FINAL_PREDICTION
0	1041354	Acessório T - Jean Bag For Girls para DS Lite	0	1	0	0	0	1
1	1041782	Carrinho de Bebê Berço-Passeio - Pegasus Pink - Galzerano	0	0	0	0	0	0
2	1041834	Carrinho de Bebê para Gêmeos Berço-Passeio - Twin - Galzerano	0	1	0	0	0	1
3	1042568	Car Center - Calesita	0	0	0	0	0	0
4	1042584	Donka Trem com Som - Calesita	0	0	0	0	0	0
5	1043696	Interfone HDL AZ-01 Branco	0	1	0	0	0	1
6	1940486	Smartphone LG Optimus L7 II Dual P716 Preto com Dual Chip, Tela de 4.3”, Android 4.1, Câmera 8MP, 3G, Wi-Fi, aGPS, Bluetooth e Cartão 4GB - Celular LG Optimus L7 II Dual	0	1	1	0	0	1
7	2277815	"Smartphone Samsung Galaxy S4 Mini Duos Preto com Dual Chip, Tela 4.3"", Android 4.2, Câmera 8MP e Processador Dual Core de 1.7 Ghz - Claro - Galaxy S4 Mini Duos"	0	1	1	1	1	1
8	2961097	"Smartphone  Samsung Galaxy S5 SM-G900M Branco com Tela 5.1"", Android 4.4, 4G, Câmera 16MP e Processador Quad Core 2.5GHz"	0	1	0	1	0	1
9	2961099	"Smartphone  Samsung Galaxy S5 SM-G900M Dourado com Tela 5.1"", Android 4.4, 4G, Câmera 16MP e Processador Quad Core 2.5GHz"	0	1	0	0	0	1
10	3031744	Smartphone LG L90 Dual D410 Preto com Tela de 4.7”, Dual Chip, Android 4.4, Câmera 8MP e Processador Quad Core de 1.2 GHz	0	1	0	0	0	1
11	3076120	"Smartphone  Samsung Galaxy Core Plus Branco com Tela 4.3"", TV Digital, Dual Chip, Android 4.3, Processador Dual Core 1.2 Ghz e Câmera de 5MP"	0	1	0	0	0	1
12	3507499	Smartphone Samsung Galaxy Pocket 2 Duos SM-G110B Branco com Dual Chip, Android 4.4, Wi-Fi, 3G, GPS, Câmera 2MP, FM, MP3 e Bluetooth	0	1	0	1	0	1
13	3507899	"Smartphone  Samsung Galaxy S5 Duos SM-G900 Preto com Dual Chip,Tela 5.1"", Android 4.4, 4G, Câmera 16MP e Processador Quad Core 2.5GHz"	0	1	0	1	0	1
14	3580503	Smartphone Samsung Galaxy Ace 4 Lite Duos G313M Preto com Tela de 4”, Dual Chip, Android 4.4, Câmera 3MP, 3G, WiFi e Processador de 1GHz	0	1	0	1	0	1
15	3608270	Smartphone LG G2 Lite D295 Branco com Tela de 4.5”, Dual Chip, Android 4.4, Câmera 8MP, 3G e Processador Quad Core de 1.2GHz	0	1	0	0	0	1
16	3638254	"Smartphone Samsung Galaxy Young 2 Duos G130M Branco com Tela 3.5"", Dual Chip, Android 4.4, 3G, Wi-Fi, GPS, Rádio FM e Câmera de 3MP."	0	1	0	1	0	1
17	3638255	"Smartphone Samsung Galaxy Young 2 Duos G130M Cinza com Tela 3.5"", Dual Chip, Android 4.4, 3G, Wi-Fi, GPS, Rádio FM e Câmera de 3MP."	0	1	0	1	0	1
18	3842557	Smartphone Alcatel One Touch Pop C7 Branco com Tela 5”, Dual Chip, Câmera 8MP, Android 4.2, 3G e Processador Quad Core de 1.3 Ghz - Vivo	0	1	0	0	0	1
19	4174797	"Smartphone Samsung Galaxy Win 2 Duos TV Branco com Dual Chip, Tela de 4.5"", TV Digital, Android 4.4, Câm. de 5MP e Processador Quad Core de1.2 Ghz"	0	1	0	1	0	1
20	4174800	Smartphone Samsung Galaxy Ace 4 Duos G313M/DS Cinza com Tela de 4”, Dual Chip, Android 4.4, Câmera 5MP, 3G e Processador Dual Core de 1GHz	0	1	0	1	0	1
21	4186072	"Smartphone Samsung Galaxy A7 4G Duos SM-A700FD Branco com Dual Chip, Tela 5.5"", 4G, Android 4.4, Câmera 13MP e Processador Octa Core"	0	1	0	0	0	1
22	4188382	Smartphone Samsung Galaxy Ace 4 Duos G313M/DS Branco com Tela de 4”, Dual Chip, Android 4.4, Câmera 5MP, 3G e Processador Dual Core de 1GHz	0	1	0	0	0	1
23	4333921	"Smartphone Samsung Galaxy E5 4G Duos E500M/DS Branco com Dual Chip, Tela 5"" HD sAMOLED, Android 4.4, Câmera 8MP e Processador Quad Core 1.2GHz"	0	1	0	0	0	1
24	4382821	"Smartphone Samsung Galaxy A5 4G Duos A500M/DS Dourado com Dual Chip, Tela 5"", Android 4.4, Câm.13MP e Processador Quad Core 1.2GHz"	0	1	0	0	0	1
25	4457760	"Smartphone Desbloqueado Samsung Galaxy S6 Edge SM-G925I Verde com 64GB, Tela de 5.1"", Android 5.0, 4G, Câmera 16 MP e Processador Octa Core"	0	1	0	0	0	1
26	4457762	"Smartphone Samsung Galaxy S6 Edge SM-G925I Preto com 64GB, Tela de 5.1"", Android 5.0, 4G, Câmera 16 MP e Processador Octa Core"	0	1	0	1	0	1
27	4457764	"Smartphone Samsung Galaxy S6 Edge SM-G925I Branco com 64GB, Tela de 5.1"", Android 5.0, 4G, Câmera 16 MP e Processador Octa Core"	0	1	0	1	0	1
28	4626851	"Smartphone Microsoft Lumia 640XL Dual Preto com Windows Phone 8.1, Tela de 5.7"", Dual Chip, 3G, Câmera 13MP e Processador Quad Core de 1.2 GHz"	0	1	0	0	0	1
29	5409352	"Smartphone Samsung Galaxy Win 2 Duos TV G360BT Cinza com Dual Chip, Tela de 4.5"", TV Digital, Android 4.4, Câm. de 5MP e Processador Quad Core 1.2 GHz"	0	1	0	1	0	1
30	5409353	"Smartphone Samsung Galaxy Win 2 Duos TV G360BT Branco com Dual Chip, Tela de 4.5"", TV Digital, Android 4.4, Câm. de 5MP e Processador Quad Core 1.2GHz"	0	1	0	1	0	1
31	6034913	Smartphone Positivo Quattro X435 Preto com Dual Chip, Tela 5”, Android 5.1, Câmera 5MP, 4G, Wi-Fi, Bluetooth e Processador Quad Core 1.0GHz	0	1	0	0	0	1
32	7259387	"Smartphone LG K4 Indigo com 8GB, Dual Chip, Tela de 4.5"", 4G, Android 5.1, Câmera 5MP e Processador Quad Core de 1GHz"	0	1	0	0	0	1
